-3,92,313
-4,92,120
-3,259,309
-3,259,313
-4,259,120
-3,582,309
-3,582,313
-4,582,120
-4,522,120
4,375,67
4,547,67
5,238,67
5,17,67
6,72,67
7,92,67
7,259,67
7,582,67
8,522,67
-3,186,120
-8,186,67
-3,440,120
-8,440,67
-3,692,120
-8,692,67
3,375,320
4,547,320
4,238,320
5,17,320
5,72,320
6,92,320
6,259,320
6,582,320
7,522,320
8,186,320
8,440,320
8,692,320
-7,185,67
-8,185,320
-7,253,67
-8,253,320
-6,13,67
-7,13,320
3,238,111
4,17,111
4,72,111
5,92,111
5,259,111
5,582,111
5,522,111
6,186,111
6,440,111
6,692,111
7,185,111
7,253,111
8,13,111
-5,2,67
-6,2,320
-8,2,111
-5,301,67
-6,301,320
-8,301,111
-5,122,67
-5,122,320
-7,122,111
-4,57,67
-5,57,320
-6,57,111
-4,124,67
-5,124,320
-6,124,111
-4,652,67
-5,652,320
-6,652,111
3,92,223
3,259,223
3,582,223
4,522,223
4,186,223
4,440,223
4,692,223
5,185,223
5,253,223
5,13,223
6,2,223
6,301,223
7,122,223
8,57,223
8,124,223
8,652,223
-4,350,67
-4,350,320
-5,350,111
-8,350,223
3,522,135
4,186,135
4,440,135
4,692,135
4,185,135
4,253,135
5,13,135
5,2,135
5,301,135
6,122,135
7,57,135
7,124,135
7,652,135
8,350,135
-3,439,67
-4,439,320
-5,439,111
-7,439,223
-8,439,135
-3,52,320
-4,52,111
-6,52,223
-7,52,135
-3,438,320
-4,438,111
-6,438,223
-7,438,135
3,185,335
3,253,335
4,13,335
4,2,335
4,301,335
5,122,335
5,57,335
5,124,335
5,652,335
6,350,335
7,439,335
8,52,335
8,438,335
-4,525,111
-5,525,223
-6,525,135
-8,525,335
-4,746,111
-5,746,223
-6,746,135
-8,746,335
3,13,231
4,2,231
4,301,231
4,122,231
5,57,231
5,124,231
5,652,231
5,350,231
6,439,231
7,52,231
7,438,231
8,525,231
8,746,231
-3,772,111
-5,772,223
-5,772,135
-7,772,335
-8,772,231
3,2,380
3,301,380
4,122,380
4,57,380
4,124,380
4,652,380
5,350,380
5,439,380
6,52,380
6,438,380
7,525,380
7,746,380
8,772,380
-4,274,223
-5,274,135
-6,274,335
-7,274,231
-8,274,380
3,57,211
3,124,211
3,652,211
4,350,211
4,439,211
5,52,211
5,438,211
5,525,211
5,746,211
6,772,211
7,274,211
-3,529,223
-4,529,135
-5,529,335
-5,529,231
-6,529,380
-8,529,211
3,350,111
4,439,111
4,52,111
4,438,111
5,525,111
5,746,111
5,772,111
6,274,111
8,529,111
-3,293,135
-4,293,335
-5,293,231
-5,293,380
-7,293,211
-8,293,111
-3,655,135
-4,655,335
-5,655,231
-5,655,380
-7,655,211
-8,655,111
-4,335,335
-4,335,231
-5,335,380
-6,335,211
-7,335,111
3,52,357
3,438,357
4,525,357
4,746,357
4,772,357
5,274,357
6,529,357
7,293,357
7,655,357
8,335,357
-3,119,335
-4,119,231
-4,119,380
-5,119,211
-6,119,111
-8,119,357
3,525,53
3,746,53
4,772,53
4,274,53
5,529,53
6,293,53
6,655,53
7,335,53
8,119,53
-3,85,231
-4,85,380
-5,85,211
-5,85,111
-7,85,357
-8,85,53
-3,570,231
-4,570,380
-5,570,211
-5,570,111
-7,570,357
-8,570,53
-3,686,231
-4,686,380
-5,686,211
-5,686,111
-7,686,357
-8,686,53
3,772,298
4,274,298
5,529,298
5,293,298
5,655,298
6,335,298
7,119,298
8,85,298
8,570,298
8,686,298
-3,680,380
-4,680,211
-5,680,111
-6,680,357
-7,680,53
-8,680,298
-4,496,211
-4,496,111
-5,496,357
-6,496,53
-7,496,298
-4,758,211
-4,758,111
-5,758,357
-6,758,53
-7,758,298
-3,189,211
-4,189,111
-5,189,357
-5,189,53
-6,189,298
-3,761,211
-4,761,111
-5,761,357
-5,761,53
-6,761,298
-3,340,111
-4,340,357
-5,340,53
-5,340,298
-3,361,111
-4,361,357
-5,361,53
-5,361,298
-3,711,111
-4,711,357
-5,711,53
-5,711,298
3,293,36
3,655,36
4,335,36
4,119,36
5,85,36
5,570,36
5,686,36
5,680,36
6,496,36
6,758,36
7,189,36
7,761,36
8,340,36
8,361,36
8,711,36
-3,295,357
-4,295,53
-4,295,298
-7,295,36
-3,139,53
-4,139,298
-6,139,36
3,85,398
3,570,398
3,686,398
4,680,398
4,496,398
4,758,398
5,189,398
5,761,398
5,340,398
5,361,398
